Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Rate,Population,GDP,Region
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9,183.5,183.2,182.9,182.5,182.2,181.9,181.5,181.2,180.8,180.5,180.2,179.8,179.5,179.1,178.8,178.5,178.1,177.8,177.5,177.1,176.8,176.4,176.1,175.8,175.4,-0.046220772,55537,11541.85498,East Asia & Pacific
Australia,AUS,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285410,1285710,1286010,1286310,1286610,1286910,1287210,1287510,1287810,1288110,1288410,1286010,1283610,1281210,1278810,1276410,1267550,1258690,1249830,1240970,1232110,1235190,1238270,1241350,1244430,1247510,-0.029484756,23789338,56554.03876,East Asia & Pacific
Brunei Darussalam,BRN,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3954,3938,3922,3906,3890,3872,3854,3836,3818,3800,3800,3800,3800,3800,3800,-0.079903148,417542,30967.89051,East Asia & Pacific
China,CHN,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571406,1591265.9,1611125.8,1630985.7,1650845.6,1670705.5,1690565.4,1710425.3,1730285.2,1750145.1,1770005,1802091.8,1834178.6,1866265.4,1898352.2,1930439,1945571.8,1960704.6,1975837.4,1990970.2,2006103,2021525,2036947,2052369,2067791,2083213,0.325700042,1371220000,8069.211938,East Asia & Pacific
Fiji,FJI,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9529,9556.5,9584.1,9611.6,9639.2,9666.7,9694.2,9721.8,9749.3,9776.9,9804.4,9838,9871.7,9905.3,9939,9972.6,9963.9,9955.1,9946.4,9937.7,9929,9977.6,10026.2,10074.8,10123.4,10172,0.067478224,892149,4921.896209,East Asia & Pacific
"Micronesia, Fed. Sts.",FSM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,636.1,636.4,636.7,636.9,637.2,637.5,637.7,638,638.3,638.6,638.8,639.1,639.4,639.7,639.9,640.2,640.5,640.7,641,641.3,641.6,641.8,642.1,642.4,642.7,0.00421875,104433,3016.011223,East Asia & Pacific
Guam,GUM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,0,161797,35439.47045,East Asia & Pacific
Indonesia,IDN,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185450,1166314,1147178,1128042,1108906,1089770,1070634,1051498,1032362,1013226,994090,990986,987882,984778,981674,978570,971720,964870,958020,951170,944320,937476,930632,923788,916944,910100,-0.232274664,258162113,3336.106686,East Asia & Pacific
Jordan,JOR,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,975,0,9159302,4096.099275,East Asia & Pacific
Kyrgyz Republic,KGZ,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8360,8360,8407.8,8429.7,8451.6,8473.5,8495.4,8517.3,8539.2,8561.1,8583,8605,8627,8649,8671,8693,8308.4,7923.8,7539.2,7154.6,6770,6690,6610,6530,6450,6370,-0.238038278,5956900,1121.082835,East Asia & Pacific
Cambodia,KHM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129440,128042,126644,125246,123848,122450,121052,119654,118256,116858,115460,113830,112200,110570,108940,107310,106036,104762,103488,102214,100940,99666,98392,97118,95844,94570,-0.269391224,15517635,1163.18977,East Asia & Pacific
St. Kitts and Nevis,KNA,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,54288,16144.97781,East Asia & Pacific
"Korea, Rep.",KOR,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63700,63618,63536,63454,63372,63290,63208,63126,63044,62962,62880,62814,62748,62682,62616,62550,62484,62418,62352,62286,62220,62144,62068,61992,61916,61840,-0.029199372,51014947,27105.07623,East Asia & Pacific
Latvia,LVA,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31730,31730,31866,31934,32002,32070,32138,32206,32274,32342,32410,32522,32634,32746,32858,32970,33084,33198,33312,33426,33540,33544,33548,33552,33556,33560,0.057674125,1977527,13666.58336,East Asia & Pacific
Mexico,MEX,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697600,695696,693792,691888,689984,688080,686176,684272,682368,680464,678560,677014,675468,673922,672376,670830,669660,668490,667320,666150,664980,664064,663148,662232,661316,660400,-0.053325688,125890949,9143.128494,East Asia & Pacific
Malta,MLT,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,0,431874,23819.4636,East Asia & Pacific
Montenegro,MNE,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6662,7064,7466,7868,8270,8270,8270,8270,8270,8270,0.321086262,622159,6461.192554,East Asia & Pacific
Mongolia,MNG,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125360,124541,123722,122903,122084,121265,120446,119627,118808,117989,117170,116352,115534,114716,113898,113080,116542.4,120004.8,123467.2,126929.6,130392,129419.2,128446.4,127473.6,126500.8,125528,0.00134014,2976877,3944.180039,East Asia & Pacific
Malawi,MWI,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38960,38631,38302,37973,37644,37315,36986,36657,36328,35999,35670,35340,35010,34680,34350,34020,33690,33360,33030,32700,32370,32190,32010,31830,31650,31470,-0.19224846,17573607,362.6575444,East Asia & Pacific
Namibia,NAM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87620,86890,86160,85430,84700,83970,83240,82510,81780,81050,80320,79578,78836,78094,77352,76610,75868,75126,74384,73642,72900,72158,71416,70674,69932,69190,-0.210340105,2425561,4737.669906,East Asia & Pacific
Nepal,NPL,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48170,47253,46336,45419,44502,43585,42668,41751,40834,39917,39000,38472,37944,37416,36888,36360,36360,36360,36360,36360,36360,36360,36360,36360,36360,36360,-0.245173344,28656282,743.7653489,East Asia & Pacific
Nauru,NRU,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12475,8052.888385,East Asia & Pacific
New Zealand,NZL,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96580,97061,97542,98023,98504,98985,99466,99947,100428,100909,101390,101478,101566,101654,101742,101830,101766,101702,101638,101574,101510,101512,101514,101516,101518,101520,0.051149306,4595700,38201.89037,East Asia & Pacific
Peru,PER,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779210,777436,775662,773888,772114,770340,768566,766792,765018,763244,761470,760232,758994,757756,756518,755280,753846,752412,750978,749544,748110,746434,744758,743082,741406,739730,-0.050666701,31376671,6030.343259,East Asia & Pacific
Philippines,PHL,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65550,66022,66494,66966,67438,67910,68382,68854,69326,69798,70270,70364,70458,70552,70646,70740,70272,69804,69336,68868,68400,70800,73200,75600,78000,80400,0.226544622,101716359,2878.33837,East Asia & Pacific
Palau,PLW,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,383,384.4,385.8,387.3,388.7,390.1,391.6,393,394.4,395.9,397.3,398.7,400.2,401.6,403,403,403,403,403,403,403,403,403,403,403,0.060526316,21288,13500.5637,East Asia & Pacific
Senegal,SEN,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93480,93030,92580,92130,91680,91230,90780,90330,89880,89430,88980,88530,88080,87630,87180,86730,86330,85930,85530,85130,84730,84330,83930,83530,83130,82730,-0.114997861,14976994,908.7256145,East Asia & Pacific
Singapore,SGP,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,163.5,0,5535002,53629.73746,East Asia & Pacific
Togo,TGO,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6850,6651,6452,6253,6054,5855,5656,5457,5258,5059,4860,4660,4460,4260,4060,3860,3662,3464,3266,3068,2870,2672,2474,2276,2078,1880,-0.725547445,7416802,551.1308346,East Asia & Pacific
Turkey,TUR,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96220,96781,97342,97903,98464,99025,99586,100147,100708,101269,101830,102788,103746,104704,105662,106620,107702,108784,109866,110948,112030,113054,114078,115102,116126,117150,0.217522345,78271472,10979.52569,East Asia & Pacific
Virgin Islands (U.S.),VIR,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.8,232.7,229.6,226.5,223.4,220.2,217.1,214,210.9,207.8,204.7,201.2,197.7,194.3,190.8,187.3,186.2,185,183.9,182.7,181.6,180.5,179.4,178.2,177.1,176,-0.25360475,103574,36350.82163,East Asia & Pacific
Vietnam,VNM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93630,95994,98358,100722,103086,105450,107814,110178,112542,114906,117270,119970,122670,125370,128070,130770,132872,134974,137076,139178,141280,142570,143860,145150,146440,147730,0.577806259,91713300,2107.012927,East Asia & Pacific
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7888,7868.5,7849,7829.5,7810,7790.5,7771,7751.5,7732,7712.5,7693,7719.2,7745.4,7771.6,7797.8,7824,7811.8,7799.6,7787.4,7775.2,7763,7753.4,7743.8,7734.2,7724.6,7715,-0.021932049,2880703,3954.022783,Europe & Central Asia
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,78014,,Europe & Central Asia
Armenia,ARM,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3346,3346,3344,3342,3340,3338,3336,3334,3332,3330,3328,3326,3324,3322,3320,3318,3316,3314,3312,3310,3312,3314,3316,3318,3320,-0.008955224,2916950,3609.654776,Europe & Central Asia
Austria,AUT,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37760,37822,37884,37946,38008,38070,38132,38194,38256,38318,38380,38406,38432,38458,38484,38510,38528,38546,38564,38582,38600,38618,38636,38654,38672,38690,0.024629237,8633169,43665.00947,Europe & Central Asia
Azerbaijan,AZE,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8520,8558,8558,8578,8598,8618,8638,8658,8678,8698,8718,8728.8,8739.6,8750.4,8761.2,8772,9034.2,9296.4,9558.6,9820.8,10083,10345.2,10607.4,10869.6,11131.8,11394,0.337323944,9649341,5500.310382,Europe & Central Asia
Belgium,BEL,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6670,6670,6670,6670,6670,6670,6670,6670,6670,6670,6673,6686.8,6700.6,6714.4,6728.2,6742,6756,6770,6784,6798,6812,6816.4,6820.8,6825.2,6829.6,6834,0.024587706,11274196,40356.875,Europe & Central Asia
Bulgaria,BGR,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33270,33318,33366,33414,33462,33510,33558,33606,33654,33702,33750,34302,34854,35406,35958,36510,36682,36854,37026,37198,37370,37542,37714,37886,38058,38230,0.149083258,7177991,6993.47736,Europe & Central Asia
Bosnia and Herzegovina,BIH,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22100,22050,22050,22025,22000,21975,21950,21925,21900,21875,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,-0.011312217,3535961,4574.090787,Europe & Central Asia
