Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.07664234,28.17226277,28.26788321,28.36350365,28.45912409,28.55474453,28.51021898,28.46569343,28.42116788,28.37664234,28.33211679,28.29708029,28.2620438,28.2270073,28.1919708,28.15693431,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.662960693,0.659349887,0.655739082,0.652128276,0.64851747,0.644906665,0.676984054,0.709061442,0.741138831,0.77321622,0.805293609,0.808484553,0.811675498,0.814866442,0.818057043,0.821247986,..,..
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,90.25,90.1,89.9,89.75,89.55,89.4,89.25,89.05,88.9,88.75,88.55,88.4,88.2,88.05,87.9,87.7,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,47.90887944,47.80877517,47.70867089,47.60856662,47.50846234,47.40835807,47.30825379,47.20814951,47.10804524,47.00794096,46.90783669,46.80773241,46.70762814,46.60752386,46.50741959,46.40731531,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,22.72727273,22.63636364,22.54545455,22.45454545,22.36363636,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,11.64180086,11.51946329,11.39712572,11.27478816,11.15245059,11.03011302,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066701,10.23221483,10.12376265,10.01531047,9.906858285,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,11.69652266,11.68949772,11.68247278,11.67544784,11.6684229,11.66139796,11.65437302,11.64734809,11.64032315,11.63329821,11.62627327,11.63329821,11.64032315,11.64734809,11.65437302,11.66139796,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,..,..
